,Id,Rol,Victima,Sexo,Edad,Dias_hospitalizado,N_victimas,Año,Mes,Dia,Hora,Calle,Altura,Cruce,Dirección,Comuna,Latitud,Longitud,Acusado
103,2016-0132,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,0.0,1.0,2016.0,10.0,10.0,2.0,SAN JUAN AV.,,24 DE NOVIEMBRE,SAN JUAN AV. y 24 DE NOVIEMBRE,3.0,-58.41036975,-34.62477021,PASAJEROS
104,2016-0133,CONDUCTOR,MOTO,MASCULINO,41,11.0,1.0,2016.0,10.0,14.0,0.0,LAS HERAS GENERAL AV.,,SANCHEZ DE BUSTAMANTE,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14.0,-58.40204698,-34.5834269,AUTO
105,2016-0134,CONDUCTOR,MOTO,MASCULINO,25,0.0,1.0,2016.0,10.0,23.0,5.0,PIEDRA BUENA AV.,,2 DE ABRIL DE 1982,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8.0,-58.48935287,-34.67648597,OBJETO FIJO
106,2016-0135,PEATON,PEATON,MASCULINO,29,1.0,1.0,2016.0,10.0,24.0,5.0,"FIGUEROA ALCORTA, PRES. AV.",,"PINEDO, INT.","FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14.0,-58.42260225,-34.56403694,SD
107,2016-0137,CONDUCTOR,MOTO,MASCULINO,30,,1.0,2016.0,10.0,25.0,0.0,SAN MARTIN AV.,,LADINES,SAN MARTIN AV. y LADINES,11.0,-58.51537091,-34.59035925,MOTO
108,2016-0138,CICLISTA,BICICLETA,FEMENINO,33,,1.0,2016.0,10.0,27.0,20.0,CABILDO AV.,,BLANCO ENCALADA,CABILDO AV. y BLANCO ENCALADA,13.0,-58.4590967,-34.55922742,CARGAS
109,2016-0139,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35,,1.0,2016.0,10.0,28.0,23.0,"FIGUEROA ALCORTA, PRES. AV.",,DORREGO AV.,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14.0,-58.42008769,-34.56539579,MOTO
110,2016-0140,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20,,1.0,2016.0,10.0,31.0,2.0,JURAMENTO AV.,,VUELTA DE OBLIGADO,JURAMENTO AV. y VUELTA DE OBLIGADO,13.0,-58.45566399,-34.56147293,PASAJEROS
111,2016-0142,CONDUCTOR,MOTO,MASCULINO,46,0.0,1.0,2016.0,11.0,5.0,23.0,DEL LIBERTADOR AV.,,"RAMOS MEJIA, JOSE MARIA, DR. AV.","DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1.0,-58.37533517,-34.59276462,PASAJEROS
112,2016-0143,CONDUCTOR,MOTO,MASCULINO,35,,1.0,2016.0,11.0,6.0,4.0,27 DE FEBRERO AV.,,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8.0,-58.44451316,-34.68475866,SD
113,2016-0144,PEATON,PEATON,MASCULINO,83,,1.0,2016.0,11.0,7.0,12.0,"BROWN, ALTE. AV.",984.0,SD,"BROWN, ALTE. AV. 984",4.0,-58.35975012,-34.63343907,PASAJEROS
114,2016-0145,CONDUCTOR,MOTO,MASCULINO,39,0.0,1.0,2016.0,11.0,7.0,20.0,DEL LIBERTADOR AV.,,LA PAMPA,DEL LIBERTADOR AV. y LA PAMPA,13.0,-58.44523595,-34.55953855,AUTO
115,2016-0146,PEATON,PEATON,FEMENINO,29,,1.0,2016.0,11.0,9.0,20.0,PICHINCHA AV.,,BRASIL,PICHINCHA AV. y BRASIL,4.0,-58.39626094,-34.63036565,PASAJEROS
116,2016-0147,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55,0.0,1.0,2016.0,11.0,16.0,21.0,INDEPENDENCIA AV.,,"CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1.0,-58.38896772,-34.61799615,PASAJEROS
117,2016-0148,CONDUCTOR,MOTO,MASCULINO,SD,,1.0,2016.0,11.0,16.0,22.0,GARMENDIA AV.,4895.0,SD,GARMENDIA AV. 4895,15.0,-58.46536113,-34.59484504,MOTO
118,2016-0150,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41,0.0,1.0,2016.0,11.0,18.0,18.0,"ALCORTA, AMANCIO AV.",,"TABORDA, DIOGENES","ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4.0,-58.40879146,-34.65273216,CARGAS
119,2016-0152,CONDUCTOR,MOTO,MASCULINO,42,1.0,1.0,2016.0,11.0,23.0,21.0,"MORENO, PERITO AV.",,ZUVIRIA,"MORENO, PERITO AV. y ZUVIRIA",7.0,-58.46451841,-34.64991946,AUTO
120,2016-0153,PEATON,PEATON,FEMENINO,83,0.0,1.0,2016.0,11.0,25.0,15.0,ARAOZ,,CORDOBA AV.,ARAOZ y CORDOBA AV.,15.0,-58.4291709,-34.59485488,MOTO
121,2016-0154,CONDUCTOR,MOTO,MASCULINO,38,,1.0,2016.0,11.0,26.0,14.0,"PAZ, GRAL. AV.",15200.0,SD,"PAZ, GRAL. AV. 15200",8.0,-58.49007772,-34.68251141,MOTO
122,2016-0155,PEATON,PEATON,FEMENINO,29,,1.0,2016.0,11.0,26.0,16.0,MADERO,900.0,SD,MADERO 900,10.0,-58.52756365,-34.62772274,AUTO
123,2016-0156,CONDUCTOR,MOTO,MASCULINO,23,4.0,1.0,2016.0,11.0,26.0,19.0,INDEPENDENCIA AV.,,DEAN FUNES,INDEPENDENCIA AV. y DEAN FUNES,3.0,-58.40638983,-34.61943202,PASAJEROS
124,2016-0157,CONDUCTOR,MOTO,MASCULINO,23,,1.0,2016.0,12.0,3.0,6.0,"JUSTO, JUAN B. AV.",5645.0,SD,"JUSTO, JUAN B. AV. 5645",11.0,-58.47576807,-34.61740997,MOTO
125,2016-0159,CONDUCTOR,AUTO,MASCULINO,23,,1.0,2016.0,12.0,4.0,7.0,27 DE FEBRERO AV.,,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8.0,-58.44451316,-34.68475866,SD
126,2016-0160,CONDUCTOR,CARGAS,MASCULINO,29,0.0,1.0,2016.0,12.0,6.0,5.0,AUTOPISTA PERITO MORENO,,SD,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9.0,-58.51927194,-34.63635787,OBJETO FIJO
127,2016-0161,PEATON,PEATON,MASCULINO,50,0.0,1.0,2016.0,12.0,6.0,7.0,SANTA FE AV.,,GODOY CRUZ,SANTA FE AV. y GODOY CRUZ,14.0,-58.42525456,-34.57866344,PASAJEROS
128,2016-0162,PEATON,PEATON,MASCULINO,38,25.0,1.0,2016.0,12.0,7.0,5.0,"LACROZE, FEDERICO AV.",,FOREST AV.,"LACROZE, FEDERICO AV. y FOREST AV.",15.0,-58.45396573,-34.58518167,AUTO
129,2016-0163,CONDUCTOR,MOTO,MASCULINO,23,,1.0,2016.0,12.0,10.0,7.0,"PAZ, GRAL. AV.",,MOSCONI GENERAL AV.,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11.0,-58.52340614,-34.59798754,AUTO
130,2016-0164,CONDUCTOR,AUTO,MASCULINO,29,,1.0,2016.0,12.0,11.0,6.0,LA PLATA AV.,,"POMAR, GREGORIO TTE. CNEL.","LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4.0,-58.42323628,-34.64119105,AUTO
131,2016-0165,CICLISTA,BICICLETA,MASCULINO,37,,1.0,2016.0,12.0,12.0,8.0,"GARCIA, MARTIN AV.",300.0,SD,"GARCIA, MARTIN AV. 300",4.0,-58.36926144,-34.62841919,PASAJEROS
132,2016-0168,CONDUCTOR,MOTO,MASCULINO,43,0.0,1.0,2016.0,12.0,13.0,10.0,LA PLATA AV.,,"POMAR, GREGORIO TTE. CNEL.","LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4.0,-58.42323628,-34.64119105,AUTO
133,2016-0169,CONDUCTOR,MOTO,MASCULINO,24,1.0,1.0,2016.0,12.0,15.0,15.0,NU?EZ,,"BALBIN, RICARDO, DR. AV.","NUÃEZ y BALBIN, RICARDO, DR. AV.",12.0,-58.47935434,-34.55676497,PASAJEROS
134,2016-0170,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21,0.0,1.0,2016.0,12.0,19.0,17.0,"PAZ, GRAL. AV.",4500.0,SD,"PAZ, GRAL. AV. 4500",12.0,-58.50598256,-34.5637998,AUTO
135,2016-0171,CONDUCTOR,MOTO,SD,SD,,1.0,2016.0,12.0,25.0,19.0,"HUERGO, ING. AV.",,AUTOPISTA 25 DE MAYO,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1.0,-58.36607137,-34.62150748,MOTO
136,2016-0172,CONDUCTOR,MOTO,MASCULINO,38,0.0,1.0,2016.0,12.0,26.0,8.0,"GARAY, JUAN DE AV.",,CASTRO,"GARAY, JUAN DE AV. y CASTRO",5.0,-58.41918902,-34.63174259,CARGAS
137,2016-0173,CONDUCTOR,MOTO,MASCULINO,35,,1.0,2016.0,12.0,26.0,19.0,DIRECTORIO AV.,,SAN PEDRITO AV.,DIRECTORIO AV. y SAN PEDRITO AV.,7.0,-58.46749188,-34.63551751,CARGAS
138,2016-0175,PEATON,PEATON,FEMENINO,SD,,1.0,2016.0,12.0,27.0,8.0,"FALCON, RAMON L.,CNEL.",,MEMBRILLAR,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7.0,-58.46064174,-34.62960517,BICICLETA
139,2016-0176,CONDUCTOR,MOTO,MASCULINO,28,,1.0,2016.0,12.0,28.0,1.0,BELGRANO AV.,,PASEO COLON AV.,BELGRANO AV. y PASEO COLON AV.,1.0,-58.36956186,-34.61232875,PASAJEROS
140,2016-0177,PEATON,PEATON,FEMENINO,27,,1.0,2016.0,12.0,29.0,4.0,ARENALES,3319.0,SD,ARENALES 3319,14.0,-58.40966671,-34.58788235,AUTO
141,2016-0178,PEATON,PEATON,FEMENINO,7,,1.0,2016.0,12.0,30.0,16.0,REPUBLICA BOLIVARIANA DE VENEZUELA,,SAAVEDRA,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3.0,-58.40288226,-34.61544091,MULTIPLE
142,2017-0001,CONDUCTOR,MOTO,MASCULINO,18,0.0,1.0,2017.0,1.0,2.0,1.0,"JUSTO, JUAN B. AV.",,ACHUPALLAS,"JUSTO, JUAN B. AV. y ACHUPALLAS",11.0,-58.4659423,-34.61028571,CARGAS
143,2017-0003,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33,0.0,1.0,2017.0,1.0,5.0,3.0,OLAVARRIA,,VELEZ SARSFIELD AV.,OLAVARRIA y VELEZ SARSFIELD AV.,4.0,-58.38957669,-34.64410277,CARGAS
144,2017-0007,PEATON,PEATON,MASCULINO,48,0.0,1.0,2017.0,1.0,11.0,17.0,LIMA,,MEXICO,LIMA y MEXICO,1.0,-58.3816166,-34.61529543,MULTIPLE
145,2017-0008,CONDUCTOR,MOTO,MASCULINO,29,0.0,1.0,2017.0,1.0,16.0,0.0,"CABRERA, JOSE A.",,BONPLAND,"CABRERA, JOSE A. y BONPLAND",14.0,-58.43917004,-34.58494351,PASAJEROS
146,2017-0009,CONDUCTOR,MOTO,MASCULINO,36,0.0,1.0,2017.0,1.0,16.0,13.0,AUTOPISTA 25 DE MAYO,,SD,AUTOPISTA 25 DE MAYO y BOEDO AV.,5.0,-58.41595919,-34.62743346,CARGAS
147,2017-0010,CONDUCTOR,MOTO,MASCULINO,23,0.0,1.0,2017.0,1.0,16.0,16.0,DIRECTORIO AV.,,RIGLOS,DIRECTORIO AV. y RIGLOS,6.0,-58.4356488,-34.62828656,AUTO
148,2017-0011,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29,0.0,1.0,2017.0,1.0,22.0,2.0,"PAZ, GRAL. AV.",,"BALBIN, RICARDO, DR. AV.","PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12.0,-58.5007381,-34.5497951,OBJETO FIJO
149,2017-0012,CONDUCTOR,MOTO,MASCULINO,30,0.0,1.0,2017.0,1.0,24.0,14.0,TRAFUL,,"TABORDA, DIOGENES","TRAFUL y TABORDA, DIOGENES",4.0,-58.40969005,-34.6505529,CARGAS
150,2017-0013,PEATON,PEATON,MASCULINO,4,0.0,1.0,2017.0,1.0,27.0,7.0,"IRIARTE, GRAL. AV.",3055.0,SD,"IRIARTE, GRAL. AV. 3055",4.0,-58.38972622,-34.65098981,CARGAS
151,2017-0014,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,0.0,1.0,2017.0,1.0,28.0,8.0,DONADO,,ARIAS,DONADO y ARIAS,12.0,-58.49185972,-34.55046754,MULTIPLE
152,2017-0015,PEATON,PEATON,MASCULINO,82,19.0,1.0,2017.0,2.0,2.0,15.0,CORDOBA AV.,,CALLAO AV.,CORDOBA AV. y CALLAO AV.,2.0,-58.39293417,-34.59963642,AUTO
153,2017-0016,CONDUCTOR,MOTO,MASCULINO,27,1.0,1.0,2017.0,2.0,3.0,5.0,AUTOPISTA 25 DE MAYO,,SD,AUTOPISTA 25 DE MAYO KM. 8.3,1.0,-58.38099494,-34.62288231,CARGAS
154,2017-0017,CONDUCTOR,MOTO,MASCULINO,32,0.0,1.0,2017.0,2.0,6.0,8.0,"JUSTO, JUAN B. AV.",,PARAGUAY,"JUSTO, JUAN B. AV. y PARAGUAY",14.0,-58.429012,-34.58095431,AUTO
155,2017-0018,CONDUCTOR,MOTO,MASCULINO,30,0.0,1.0,2017.0,2.0,9.0,7.0,"PAZ, GRAL. AV.",,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9.0,-58.50877521,-34.66977709,AUTO
156,2017-0021,CONDUCTOR,MOTO,MASCULINO,43,0.0,1.0,2017.0,2.0,18.0,5.0,SARMIENTO,,LIBERTAD,SARMIENTO y LIBERTAD,1.0,-58.38362373,-34.60509972,PASAJEROS
157,2017-0024,PEATON,PEATON,MASCULINO,39,0.0,1.0,2017.0,2.0,23.0,20.0,RIVADAVIA AV.,7121.0,SD,RIVADAVIA AV. 7121,7.0,-58.46589308,-34.62955795,PASAJEROS
158,2017-0025,CONDUCTOR,MOTO,MASCULINO,23,0.0,1.0,2017.0,2.0,24.0,17.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",,RIVERA INDARTE AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7.0,-58.43614426,-34.6542464,SD
159,2017-0026,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,0.0,2.0,2017.0,2.0,26.0,5.0,"MORENO, PERITO AV.",,FOURNIER,"MORENO, PERITO AV. y FOURNIER",4.0,-58.41842777,-34.64979057,OBJETO FIJO
160,2017-0026,CONDUCTOR,AUTO,MASCULINO,19,0.0,2.0,2017.0,2.0,26.0,5.0,"MORENO, PERITO AV.",,FOURNIER,"MORENO, PERITO AV. y FOURNIER",4.0,-58.41842777,-34.64979057,OBJETO FIJO
161,2017-0027,PEATON,PEATON,MASCULINO,SD,0.0,1.0,2017.0,2.0,26.0,21.0,CASEROS AV.,1429.0,SD,CASEROS AV. 1429,1.0,-58.38332245,-34.6319325,AUTO
162,2017-0028,PEATON,PEATON,MASCULINO,87,0.0,1.0,2017.0,2.0,28.0,9.0,GAONA AV.,,FRAGATA PRES. SARMIENTO,GAONA AV. y FRAGATA PRES. SARMIENTO,6.0,-58.45475488,-34.61196327,AUTO
163,2017-0029,SD,SD,MASCULINO,34,0.0,1.0,2017.0,3.0,7.0,2.0,MOZART,,TANDIL,MOZART y TANDIL,9.0,-58.48501341,-34.64742455,AUTO
164,2017-0030,CONDUCTOR,AUTO,FEMENINO,27,0.0,1.0,2017.0,3.0,7.0,8.0,MOZART,,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9.0,-58.47010988,-34.65872088,PASAJEROS
165,2017-0031,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70,0.0,1.0,2017.0,3.0,11.0,1.0,24 DE NOVIEMBRE,,PAVON,24 DE NOVIEMBRE y PAVON,3.0,-58.4099756,-34.62873635,OBJETO FIJO
166,2017-0032,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40,0.0,1.0,2017.0,3.0,12.0,5.0,"PAZ, GRAL. AV.",,LOS CEDROS,"PAZ, GRAL. AV. y LOS CEDROS",8.0,-58.48892175,-34.68359163,AUTO
167,2017-0033,CONDUCTOR,AUTO,MASCULINO,28,0.0,1.0,2017.0,3.0,12.0,7.0,"PAZ, GRAL. AV.",,"GUTIERREZ, RICARDO","PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11.0,-58.52466448,-34.60325478,AUTO
168,2017-0034,PEATON,PEATON,MASCULINO,43,0.0,1.0,2017.0,3.0,13.0,7.0,GODOY CRUZ,2651.0,SD,GODOY CRUZ 2651,14.0,-58.42554218,-34.57929036,AUTO
169,2017-0035,CONDUCTOR,AUTO,MASCULINO,28,0.0,3.0,2017.0,3.0,23.0,5.0,"ACHAVAL RODRIGUEZ, T., DR. AV.",,"VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1.0,-58.35881506,-34.61113641,OBJETO FIJO
170,2017-0035,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32,0.0,3.0,2017.0,3.0,23.0,5.0,"ACHAVAL RODRIGUEZ, T., DR. AV.",,"VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1.0,-58.35881506,-34.61113641,OBJETO FIJO
171,2017-0035,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,0.0,3.0,2017.0,3.0,23.0,5.0,"ACHAVAL RODRIGUEZ, T., DR. AV.",,"VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1.0,-58.35881506,-34.61113641,OBJETO FIJO
172,2017-0036,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,SD,0.0,2.0,2017.0,3.0,29.0,18.0,"PAZ, GRAL. AV.",,CAMPANA,"PAZ, GRAL. AV. y CAMPANA",12.0,-58.51452347,-34.58159762,PASAJEROS
173,2017-0036,CONDUCTOR,MOTO,MASCULINO,20,0.0,2.0,2017.0,3.0,29.0,18.0,"PAZ, GRAL. AV.",,CAMPANA,"PAZ, GRAL. AV. y CAMPANA",12.0,-58.51452347,-34.58159762,PASAJEROS
174,2017-0037,CONDUCTOR,MOTO,MASCULINO,41,0.0,1.0,2017.0,3.0,31.0,3.0,INDEPENDENCIA AV.,,"CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1.0,-58.38896772,-34.61799615,CARGAS
175,2017-0038,CONDUCTOR,MOTO,FEMENINO,40,0.0,1.0,2017.0,4.0,1.0,19.0,CASTA?ARES AV.,,LAUTARO,CASTAÃARES AV. y LAUTARO,7.0,-58.44516857,-34.64363363,AUTO
176,2017-0040,CONDUCTOR,AUTO,MASCULINO,43,0.0,1.0,2017.0,4.0,3.0,9.0,"GUIRALDES, INT.",2699.0,SD,"GUIRALDES, INT. 2699",13.0,-58.43834197,-34.54560369,MULTIPLE
177,2017-0041,CONDUCTOR,MOTO,MASCULINO,17,,1.0,2017.0,4.0,3.0,23.0,"FERNANDEZ MORENO, BALDOMERO",2186.0,SD,"FERNANDEZ MORENO, BALDOMERO 2186",7.0,-58.45485084,-34.63531854,AUTO
178,2017-0045,CONDUCTOR,MOTO,MASCULINO,21,0.0,1.0,2017.0,4.0,14.0,6.0,NOGOYA,5940.0,SD,NOGOYA 5940,10.0,-58.52449285,-34.62454175,OBJETO FIJO
179,2017-0047,CONDUCTOR,MOTO,MASCULINO,37,0.0,1.0,2017.0,4.0,23.0,6.0,ARGENTINA AV.,,CORVALAN,ARGENTINA AV. y CORVALAN,8.0,-58.46713742,-34.6719879,AUTO
180,2017-0049,PEATON,PEATON,MASCULINO,22,0.0,1.0,2017.0,4.0,27.0,18.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",,VARELA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8.0,-58.43850413,-34.65554754,PASAJEROS
181,2017-0052,PEATON,PEATON,FEMENINO,47,0.0,1.0,2017.0,5.0,5.0,3.0,"PAZ, GRAL. AV.",,GOLETA SANTA CRUZ,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8.0,-58.49413799,-34.68095739,CARGAS
182,2017-0053,CONDUCTOR,MOTO,MASCULINO,28,0.0,1.0,2017.0,5.0,5.0,20.0,VIEYTES,,VILLARINO,VIEYTES y VILLARINO,4.0,-58.37547846,-34.65326075,CARGAS
183,2017-0054,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20,0.0,1.0,2017.0,5.0,7.0,21.0,DE LOS CONSTITUYENTES AV.,,"MORAN, PEDRO","DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15.0,-58.48680218,-34.58689719,AUTO
184,2017-0055,CONDUCTOR,AUTO,MASCULINO,32,0.0,1.0,2017.0,5.0,9.0,8.0,DE LOS CONSTITUYENTES AV.,4900.0,SD,DE LOS CONSTITUYENTES AV. 4900,12.0,-58.49563989,-34.57962262,AUTO
185,2017-0058,PEATON,PEATON,MASCULINO,80,0.0,1.0,2017.0,5.0,9.0,23.0,CORDOBA AV.,,LIBERTAD,CORDOBA AV. y LIBERTAD,1.0,-58.38403232,-34.5991594,MOTO
186,2017-0059,PEATON,PEATON,FEMENINO,39,0.0,1.0,2017.0,5.0,11.0,9.0,BRASIL,,LIMA,BRASIL y LIMA,1.0,-58.38223382,-34.62693865,PASAJEROS
187,2017-0060,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,0.0,1.0,2017.0,5.0,13.0,7.0,ESCALADA AV.,,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8.0,-58.45966521,-34.67323292,OBJETO FIJO
188,2017-0061,PEATON,PEATON,MASCULINO,47,1.0,1.0,2017.0,5.0,15.0,13.0,PARAGUAY,,CALLAO AV.,PARAGUAY y CALLAO AV.,2.0,-58.39303911,-34.59871111,MOTO
189,2017-0062,CONDUCTOR,MOTO,MASCULINO,35,0.0,1.0,2017.0,5.0,15.0,16.0,"JUSTO, JUAN B. AV.",,SAN BLAS,"JUSTO, JUAN B. AV. y SAN BLAS",10.0,-58.51262106,-34.63395999,CARGAS
190,2017-0063,PEATON,PEATON,FEMENINO,79,0.0,1.0,2017.0,5.0,17.0,10.0,CHILE,,9 DE JULIO AV.,CHILE y 9 DE JULIO AV.,1.0,-58.38118367,-34.61646839,PASAJEROS
191,2017-0064,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61,0.0,1.0,2017.0,5.0,20.0,5.0,MAIPU,,"PERON, JUAN DOMINGO, TTE. GENERAL","MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1.0,-58.37653284,-34.60582475,AUTO
192,2017-0065,CICLISTA,BICICLETA,MASCULINO,21,0.0,1.0,2017.0,5.0,22.0,16.0,SUAREZ AV.,,HERRERA,SUAREZ AV. y HERRERA,4.0,-58.37709334,-34.64035082,CARGAS
193,2017-0066,PEATON,PEATON,MASCULINO,10,0.0,1.0,2017.0,5.0,22.0,18.0,SAN MARTIN AV.,,FRAGATA PRES. SARMIENTO,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,15.0,-58.46002142,-34.60409469,PASAJEROS
194,2017-0067,CONDUCTOR,MOTO,MASCULINO,21,0.0,1.0,2017.0,5.0,23.0,2.0,DIRECTORIO AV.,,"MORENO, JOSE MARIA AV.","DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6.0,-58.4338197,-34.62801894,CARGAS
195,2017-0068,CONDUCTOR,MOTO,MASCULINO,32,0.0,1.0,2017.0,5.0,27.0,19.0,"RABANAL, FRANCISCO, INTENDENTE AV.",2950.0,SD,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",8.0,-58.43580656,-34.66437532,OBJETO FIJO
196,2017-0069,CONDUCTOR,MOTO,MASCULINO,39,0.0,1.0,2017.0,5.0,24.0,14.0,"PAZ, GRAL. AV.",,"SCHMIDL, ULRICO","PAZ, GRAL. AV. y SCHMIDL, ULRICO",9.0,-58.52173071,-34.65997463,SD
197,2017-0070,PEATON,PEATON,MASCULINO,80,1.0,1.0,2017.0,5.0,30.0,13.0,NUEVA YORK,3696.0,SD,NUEVA YORK 3696,11.0,-58.50791763,-34.59804273,AUTO
198,2017-0072,CONDUCTOR,AUTO,MASCULINO,25,0.0,1.0,2017.0,6.0,3.0,23.0,DE LOS CONSTITUYENTES AV.,,VALLEJOS,DE LOS CONSTITUYENTES AV. y VALLEJOS,12.0,-58.49175088,-34.58226957,AUTO
199,2017-0073,CONDUCTOR,MOTO,MASCULINO,19,0.0,1.0,2017.0,6.0,4.0,9.0,CORRIENTES AV.,,ECUADOR,CORRIENTES AV. y ECUADOR,3.0,-58.40781467,-34.60425669,AUTO
200,2017-0074,SD,SD,MASCULINO,70,0.0,1.0,2017.0,6.0,4.0,12.0,CASCO,133.0,SD,CASCO 133,9.0,-58.52567073,-34.63787791,SD
201,2017-0075,PEATON,PEATON,MASCULINO,55,0.0,1.0,2017.0,6.0,12.0,22.0,DE MAYO AV.,,9 DE JULIO AV.,DE MAYO AV. y 9 DE JULIO AV.,1.0,-58.381542,-34.60906385,MOTO
202,2017-0076,PEATON,PEATON,FEMENINO,30,0.0,1.0,2017.0,6.0,13.0,14.0,"CASTILLO, RAMON S., PRES. AV.",,CALLE 12 (NO OFICIAL),"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2.0,-58.38526125,-34.5780581,CARGAS
203,2017-0077,CONDUCTOR,MOTO,FEMENINO,60,1.0,1.0,2017.0,6.0,17.0,23.0,FRAY JUSTO SANTAMARIA DE ORO,1930.0,SD,FRAY JUSTO SANTAMARIA DE ORO 1930,14.0,-58.42934104,-34.58451712,CARGAS
204,2017-0079,CONDUCTOR,MOTO,MASCULINO,33,0.0,1.0,2017.0,6.0,19.0,16.0,MEXICO,,DEAN FUNES,MEXICO y DEAN FUNES,3.0,-58.40657493,-34.61781124,CARGAS
205,2017-0080,PEATON,PEATON,FEMENINO,95,0.0,1.0,2017.0,6.0,22.0,10.0,"ALBERDI, JUAN BAUTISTA AV.",,ESCALADA AV.,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9.0,-58.49525314,-34.64487785,CARGAS
206,2017-0082,PEATON,PEATON,MASCULINO,36,0.0,1.0,2017.0,6.0,25.0,22.0,ENTRE RIOS AV.,,BRASIL,ENTRE RIOS AV. y BRASIL,4.0,-58.39092851,-34.62932696,AUTO
207,2017-0083,CONDUCTOR,MOTO,MASCULINO,37,0.0,1.0,2017.0,7.0,4.0,0.0,"ALBERDI, JUAN BAUTISTA AV.",,GUARDIA NACIONAL,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9.0,-58.49603546,-34.64564271,CARGAS
208,2017-0084,PEATON,PEATON,FEMENINO,73,0.0,1.0,2017.0,7.0,5.0,12.0,DEL LIBERTADOR AV.,,RODRIGUEZ PE?A,DEL LIBERTADOR AV. y RODRIGUEZ PEÃA,2.0,-58.38502878,-34.58703485,PASAJEROS
209,2017-0085,PEATON,PEATON,MASCULINO,84,0.0,1.0,2017.0,7.0,7.0,14.0,TACUARI,,"GARCIA, MARTIN AV.","TACUARI y GARCIA, MARTIN AV.",4.0,-58.37261143,-34.63150425,PASAJEROS
